UNIVERSIDAD,TIPO_UNI,PAIS_UNI,UNI
UNIVERSIDAD CATOLICA NTRA SRA DE LA ASUNCION,Privada,Paraguay,UNIVERSIDAD CATOLICA NTRA SRA DE LA ASUNCION
UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,Publica,Peru,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,Publica,Venezuela,UNIVERSIDAD BOLIVARIANA DE VENEZUELA
UNIVERSIDAD CENTROOCCIDENTAL LISANDRO ALVARADO,Publica,Venezuela,UNIVERSIDAD CENTROOCCIDENTAL LISANDRO ALVARADO
UNIVERSIDAD DE CARABOBO,Publica,Venezuela,UNIVERSIDAD DE CARABOBO
UNIVERSIDAD DE LAS CIENCIAS DE LA SALUD HUGO CHAVEZ FRIAS,Publica,Venezuela,UNIVERSIDAD DE LAS CIENCIAS DE LA SALUD HUGO CHAVEZ FRIAS
UNIVERSIDAD DE LOS ANDES DE VENEZUELA,Publica,Venezuela,UNIVERSIDAD DE LOS ANDES DE VENEZUELA
UNIVERSIDAD DE ORIENTE,Publica,Venezuela,UNIVERSIDAD DE ORIENTE
UNIVERSIDAD DEL ZULIA,Publica,Venezuela,UNIVERSIDAD DEL ZULIA
UNIVERSIDAD NACIONAL DEL ORIENTE,Publica,Venezuela,UNIVERSIDAD NACIONAL DEL ORIENTE
UNIVERSIDAD NACIONAL EXPERIMENTAL DE LOS LLANOS CENTRALES ROMULO GALLEGOS,Publica,Venezuela,UNIVERSIDAD NACIONAL EXPERIMENTAL DE LOS LLANOS CENTRALES ROMULO GALLEGOS
UNIVERSIDAD NACIONAL EXPERIMENTAL FRANCISCO DE MIRANDA,Publica,Venezuela,UNIVERSIDAD NACIONAL EXPERIMENTAL FRANCISCO DE MIRANDA
UNIVERSIDAD SIMON BOLIVAR,Publica,Venezuela,UNIVERSIDAD SIMON BOLIVAR
