UNIVERSIDAD,UNI,CLASE_UNI,PAIS_UNI,CIUDAD_UNI,LOC,long,lat
UNIVERSIDAD SAN CARLOS DE GUATEMALA,UNIVERSIDAD SAN CARLOS DE GUATEMALA,Pública,Guatemala,Guatemala,"Guatemala, Guatemala",-90.5069,14.6349
UNIVERSIDAD PRIVADA FRANZ TAMAYO,UNIVERSIDAD PRIVADA FRANZ TAMAYO,Privada,Bolivia,La Paz,"La Paz, Bolivia",-68.15,-16.5
UNIVERSIDAD CATOLICA NTRA SRA DE LA ASUNCION,UNIVERSIDAD CATOLICA NTRA SRA DE LA ASUNCION,Privada,Paraguay,Asunción,"Asunción, Paraguay",-57.5759,-25.2637
INSTITUTO DE INVESTIGACIONES MEDICAS DR. ALFREDO LANARI,UNIVERSIDAD DE BUENOS AIRES,Pública,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD DEL QUINDIO,UNIVERSIDAD DEL QUINDIO,Pública,Colombia,Quindio,"Quindio, Colombia",-75.6636,4.5656
UNIVERSIDAD DE BOYACA,UNIVERSIDAD DE BOYACA,Privada,Colombia,Boyaca,"Boyaca, Colombia",-73.0367,5.6583
PONTIFICIA UNIVERSIDAD JAVERIANA,PONTIFICIA UNIVERSIDAD JAVERIANA,Privada,Colombia,Bogotá,"Bogotá, Colombia",-74.0721,4.711
UNIVERSIDAD PRIVADA LOS ANDES,UNIVERSIDAD PRIVADA LOS ANDES,Privada,Perú,Huancayo,"Huancayo, Perú",-75.20486,-12.06513
UNIVERSIDAD DEL VALLE,UNIVERSIDAD DEL VALLE,Pública,Colombia,Cali,"Cali, Colombia",-76.5319,3.4516
UNIVERSIDAD REMINGTON,UNIVERSIDAD REMINGTON,Privada,Colombia,Medellín,"Medellín, Colombia",-75.5812,6.2442
UNIVERSIDAD DE SAN PABLO T,UNIVERSIDAD DE SAN PABLO T,Privada,Argentina,Tucumán,"Tucumán, Argentina",-65.2226,-26.8241
FUNDACION UNIVERSITARIA SANITAS,FUNDACION UNIVERSITARIA SANITAS,Privada,Colombia,Bogotá,"Bogotá, Colombia",-74.0721,4.711
UNIVERSIDAD DE NAVARRA,UNIVERSIDAD DE NAVARRA,Privada,España,Pamplona,"Pamplona, España",-1.6458,42.8125
CORPORACION UNIVERSITARIA RAFAEL NUÑEZ,CORPORACION UNIVERSITARIA RAFAEL NUÑEZ,Privada,Colombia,Barranquilla,"Barranquilla, Colombia",-74.7813,10.9685
UNIVERSIDAD DE CALDAS,UNIVERSIDAD DE CALDAS,Pública,Colombia,Caldas,"Caldas, Colombia",-75.5167,5.0667
FUNDACION UNIVERSITARIA AUTONOMA DE LAS AMERICAS,FUNDACION UNIVERSITARIA AUTONOMA DE LAS AMERICAS,Privada,Colombia,Medellín,"Medellín, Colombia",-75.5812,6.2442
UNIVERSIDAD DEL CAUCA,UNIVERSIDAD DEL CAUCA,Pública,Colombia,Cauca,"Cauca, Colombia",-76.6069,2.455
UNIVERSIDAD CENTROOCCIDENTAL LISANDRO ALVARADO,UNIVERSIDAD CENTROOCCIDENTAL LISANDRO ALVARADO,Pública,Venezuela,Barquisimeto,"Barquisimeto, Venezuela",-69.35,10.0667
UNIVERSIDAD AUTONOMA JUAN MISAEL SARACHO,UNIVERSIDAD AUTONOMA JUAN MISAEL SARACHO,Pública,Bolivia,Tarija,"Tarija, Bolivia",-64.7296,-21.5356
UNIVERSIDAD CES,UNIVERSIDAD CES,Privada,Colombia,Medellín,"Medellín, Colombia",-75.5812,6.2442
UNIVERSIDAD NACIONAL DE BOLIVIA,UNIVERSIDAD NACIONAL DE BOLIVIA,Pública,Bolivia,La Paz,"La Paz, Bolivia",-68.15,-16.5
HOSPITAL ESCUELA JOSE FRANCISCO DE SAN MARTIN,UNIVERSIDAD DE BUENOS AIRES,Pública,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,Pública,Perú,Lima,"Lima, Perú",-77.0428,-12.0464
